,Port_IDs,Total_Quantity,PnL,Total_Fee,Total_Qty,First_Trade,Last_Trade,Unique_Assets,Total_Positions,Trading_Duration_Hours,Avg_Trades_per_Hour,ROI,Mean_Return,Std_Dev_Return,Sharpe_Ratio,Cumulative_Profit,Max_Cumulative_Profit,Drawdown,Max_Drawdown (%),Win_Positions,Win_Rate (%),Total_Buy_Positions,Total_Sell_Positions,Net_Positions
0,3672754654734989568,118936.913901,566.59765978,-35.7020338,15242551.085,2024-04-22 19:33:57,2024-06-21 16:04:43,31,474,1436.5127777777777,0.32996573878949914,20991.423428607373,0.004763850357271092,0.014700203401014373,0.3240669688245516,566.59765978,566.59765978,0.0,0.0,210,44.303797468354425,266,208,58
1,3733192481840423936,1164472.4986,2923.97719988,-461.70251606,3439.27,2024-04-24 15:42:40,2024-06-18 21:20:05,2,689,1325.6236111111111,0.519755377186209,39824.95139318425,0.002510988626520063,0.014700203401014373,0.17081318931592435,3490.57485966,3490.57485966,0.0,0.0,553,80.2612481857765,129,560,-431
2,3768170840939476993,2775.560153,243.66889897,-1.08817494,56179.72,2024-06-16 14:57:55,2024-06-21 13:43:15,2,14,118.75555555555556,0.11788922155688622,1139.0703387803796,0.08779089104108492,0.014700203401014373,5.972086823984149,3734.2437586300002,3734.2437586300002,0.0,0.0,6,42.857142857142854,6,8,-2
3,3784403294629753856,742106.0000249,2521.81430468,-359.48281354,15579601.634,2024-05-07 18:54:39,2024-06-21 14:24:39,70,6050,1075.5,5.625290562529056,29427.464133568224,0.003398186114376363,0.014700203401014373,0.23116592482943976,6256.05806331,6256.05806331,0.0,0.0,1829,30.231404958677686,2767,3283,-516
4,3786761687746711808,61740.0093,205.02139999,-29.1666496,2741.62,2024-04-24 05:04:38,2024-06-21 13:48:59,7,82,1400.7391666666667,0.058540520570389325,30113.934107859666,0.003320721883823882,0.014700203401014373,0.22589632219610914,6461.0794633,6461.0794633,0.0,0.0,37,45.1219512195122,45,37,8
5,3788465932399412480,1668362.82802,13960.96645667,-726.83103713,946973.827,2024-04-22 17:07:27,2024-06-21 11:51:05,18,3069,1434.7272222222223,2.1390825743492083,11950.195806271864,0.008368063722229275,0.014700203401014373,0.5692481589507696,20422.045919969998,20422.045919969998,0.0,0.0,1369,44.607363962202676,1746,1323,423
6,3818233536529843712,813423.5021475,6419.60790714,-400.71774768,14236515.912,2024-04-23 08:50:56,2024-06-20 23:51:37,13,1421,1407.0113888888889,1.0099420738322225,12670.921868028672,0.00789208559894292,0.014700203401014373,0.5368691428037202,26841.65382711,26841.65382711,0.0,0.0,482,33.919774806474315,818,603,215
7,3819545518395756033,142075.8616,980.0631999599999,-60.58602675,2.2,2024-04-25 12:30:41,2024-06-20 13:39:41,1,68,1345.15,0.05055198305021744,14496.602015645385,0.006898168266747994,0.014700203401014373,0.4692566543856116,27821.71702707,27821.71702707,0.0,0.0,26,38.23529411764706,26,42,-16
8,3826087012661391104,4373.7423342,532.65697373,-1.01124399,75972.46,2024-04-27 01:17:15,2024-06-18 01:43:51,33,108,1248.4433333333334,0.08650773096095671,821.1180083820734,0.1217851745780603,0.014700203401014373,8.284591121348473,28354.374000800002,28354.374000800002,0.0,0.0,63,58.333333333333336,85,23,62
9,3858510226868015873,787392.77969,-280.97295038999994,-219.85067293,231.27,2024-04-24 12:08:58,2024-06-21 12:03:17,1,996,1391.9052777777779,0.7155659339047457,-280237.92987797305,-0.0003568396328203825,0.014700203401014373,-0.024274469072704065,28073.40105041,28354.374000800002,280.97295039000164,0.9909333578730186,243,24.397590361445783,541,455,86
10,3865845304835489536,197878.2350777,1406.06618669,-98.93911633,14941778.66,2024-04-22 17:28:05,2024-06-08 18:13:18,22,882,1128.753611111111,0.7813928489954383,14073.180690271935,0.00710571420923522,0.014700203401014373,0.48337523062741417,29479.4672371,29479.4672371,0.0,0.0,451,51.13378684807256,428,454,-26
11,3878631538480067329,955332.7919834,3921.23304116,-200.85753329,14933352.276,2024-04-22 17:49:53,2024-06-21 16:22:30,48,2811,1438.5436111111112,1.9540596324562052,24363.071053302876,0.004104572850492225,0.014700203401014373,0.279218779395188,33400.70027826,33400.70027826,0.0,0.0,1415,50.337958022056206,1793,1018,775
12,3879821005658659073,207016.5657877,4268.00656095,-103.50828192,15008897.8,2024-04-22 22:57:46,2024-06-20 19:40:41,18,872,1412.7152777777778,0.6172510580983233,4850.427543429571,0.020616739267749873,0.014700203401014373,1.4024798640763865,37668.706839210005,37668.706839210005,0.0,0.0,289,33.142201834862384,451,421,30
13,3880920727367689984,162140.697,-176.82699999000002,-47.64328642,30.144000000000002,2024-04-24 04:48:06,2024-06-21 08:56:40,2,145,1396.1427777777778,0.10385757266946193,-91694.53590750815,-0.0010905775247160806,0.014700203401014373,-0.07418792073590127,37491.879839220004,37668.706839210005,176.82699999000033,0.4694267863900708,49,33.793103448275865,71,74,-3
14,3886752488982104320,799961.5870758,7195.17832464,-300.51077735,5743639.6559999995,2024-04-23 05:46:26,2024-06-19 08:42:17,36,1249,1370.9308333333333,0.9110598212771492,11118.023084102297,0.008994404782536419,0.014700203401014373,0.6118558047921819,44687.058163860005,44687.058163860005,0.0,0.0,931,74.5396317053643,579,670,-91
15,3887577207880438784,1127093.056185,2417.51403674,-462.34479917,1430333.846,2024-04-28 20:22:24,2024-06-20 11:25:59,20,6050,1263.0597222222223,4.7899556082396915,46621.986017705894,0.0021449107715407582,0.014700203401014373,0.14591027845184446,47104.57220060001,47104.57220060001,0.0,0.0,2893,47.81818181818182,3160,2890,270
16,3891020560590657281,163834.4145645,2856.30056379,-71.16211533,13396268.2,2024-04-24 05:45:33,2024-04-27 01:04:54,5,437,67.3225,6.491143377028481,5735.89546707611,0.017434069462039077,0.014700203401014373,1.185974709767353,49960.872764390006,49960.872764390006,0.0,0.0,283,64.75972540045767,199,238,-39
17,3907081197088384000,1638947.5950495,18015.99737026,-622.53908854,52494710.801,2024-04-22 17:28:02,2024-06-21 16:17:59,76,4137,1438.8325,2.8752478137656747,9097.179364352045,0.010992418198530548,0.014700203401014373,0.7477732041294086,67976.87013465,67976.87013465,0.0,0.0,2540,61.39714769156394,2599,1538,1061
18,3910887259807777281,202111.79279,1803.30201001,-101.05589631,21.954,2024-04-25 16:18:26,2024-05-29 16:06:18,2,75,815.7977777777778,0.09193454804976178,11207.872650731377,0.008922299808025962,0.014700203401014373,0.606950772355319,69780.17214466,69780.17214466,0.0,0.0,17,22.666666666666664,68,7,61
19,3910983669796782848,942371.130466,6761.64804825,-192.15968597,9777351.07,2024-04-24 14:32:35,2024-06-20 14:08:47,19,640,1367.6033333333332,0.4679719509311911,13937.003578733997,0.007175143454263485,0.014700203401014373,0.48809824316909595,76541.82019291,76541.82019291,0.0,0.0,274,42.8125,296,344,-48
20,3911997667197443328,97435.47094,605.72231024,-28.63970115,9937.532,2024-04-24 18:46:22,2024-06-19 07:40:48,4,64,1332.9072222222221,0.04801534490397556,16085.831624955998,0.00621665092184959,0.014700203401014373,0.422895571732063,77147.54250315,77147.54250315,0.0,0.0,30,46.875,13,51,-38
21,3914654298562589441,429177.2464067,343.47044904999996,-169.55488382000001,4873475.72,2024-04-25 04:11:46,2024-06-21 09:56:59,13,483,1373.753611111111,0.3515914324762669,124953.17940560979,0.0008002997640851585,0.014700203401014373,0.05444140752705059,77491.0129522,77491.0129522,0.0,0.0,200,41.40786749482402,255,228,27
22,3919174299855478272,2303775.7345284,1456.3718076199998,-1123.33093357,1928814.518,2024-04-22 18:12:28,2024-06-20 03:24:39,9,1267,1401.2030555555555,0.9042229782304135,158185.96065061342,0.0006321673528339901,0.014700203401014373,0.04300398678771805,78947.38475982001,78947.38475982001,0.0,0.0,609,48.06629834254144,656,611,45
23,3919965573764932864,454.6,1e-06,-0.09092,10000.0,2024-06-02 15:04:16,2024-06-02 15:04:16,1,1,0.0,inf,45460000000.00001,2.1997360316761988e-09,0.014700203401014373,1.496398363797067e-07,78947.38476082,78947.38476082,0.0,0.0,0,0.0,1,0,1
24,3923766029921022977,493792.4724273,772.72903189,-246.89623403,2714151.156,2024-04-24 14:34:17,2024-06-18 02:19:24,23,1259,1307.7519444444445,0.9627208014092037,63902.409777402114,0.0015648862124032627,0.014700203401014373,0.1064533714067711,79720.11379271,79720.11379271,0.0,0.0,359,28.51469420174742,517,742,-225
25,3925368433214965504,1809054.44027,6789.43673863,-761.3541061,56236.774,2024-04-22 22:34:32,2024-06-20 16:07:36,8,1458,1409.5511111111111,1.034371856761333,26645.132872024344,0.003753030637163513,0.014700203401014373,0.2553046740091051,86509.55053134,86509.55053134,0.0,0.0,486,33.33333333333333,867,591,276
26,3926423286576838657,966684.75528,1309.45995959,-483.34237714,212.72,2024-04-23 04:14:59,2024-06-21 14:20:15,2,478,1426.0877777777778,0.3351827338039812,73823.16260992624,0.0013545884037560053,0.014700203401014373,0.09214759597561305,87819.01049093,87819.01049093,0.0,0.0,163,34.10041841004184,314,164,150
27,3930688517098515713,664103.6696264,1947.24457347,-258.69263626,3436598.119,2024-04-24 15:33:06,2024-06-21 14:47:07,6,288,1391.233611111111,0.20701052483197865,34104.78984891783,0.0029321394573311836,0.014700203401014373,0.19946250928261675,89766.2550644,89766.2550644,0.0,0.0,140,48.61111111111111,198,90,108
28,3931992636670880512,1816728.3221348,10374.96528998,-800.55700458,9991586.559,2024-05-07 06:00:33,2024-06-20 14:11:00,53,6050,1064.1741666666667,5.685159619078644,17510.693013010572,0.0057107962503653775,0.014700203401014373,0.38848416546204456,100141.22035438,100141.22035438,0.0,0.0,2430,40.16528925619834,3049,3001,48
29,3932103299427844097,1765025.9953072,3860.30970535,-675.73227347,14515070.112,2024-04-22 16:48:03,2024-06-21 15:34:17,51,2589,1438.7705555555556,1.7994530052085365,45722.393539074124,0.0021871120967134083,0.014700203401014373,0.1487810771762851,104001.53005973,104001.53005973,0.0,0.0,778,30.050212437234453,1315,1274,41
30,3935808725185052672,1946541.8022825,2301.96412286,-821.90152495,4590123.236,2024-04-25 01:58:42,2024-06-14 01:50:33,8,1715,1199.8641666666667,1.4293284587074786,84560.04083434989,0.0011825916711168155,0.014700203401014373,0.08044729986764754,106303.49418258999,106303.49418258999,0.0,0.0,602,35.10204081632653,913,802,111
31,3936410995029308417,596381.514,10681.514,-176.28575699,9.5,2024-04-25 16:53:16,2024-05-20 18:38:16,1,20,601.75,0.033236393851267136,5583.305082032379,0.017910538387345118,0.014700203401014373,1.2183871133449227,116985.00818258998,116985.00818258998,0.0,0.0,6,30.0,11,9,2
32,3937714876784951296,1245784.403581,1117.5308932100002,-440.21170475,783569.65,2024-04-23 05:28:00,2024-06-21 08:00:57,14,511,1418.5491666666667,0.36022720396837377,111476.50692703482,0.0008970499951658282,0.014700203401014373,0.0610229648321688,118102.53907579998,118102.53907579998,0.0,0.0,201,39.33463796477495,314,197,117
33,3939318616482048768,961879.58273,9775.38910984,-458.84724448000003,294.223,2024-04-23 02:22:19,2024-06-21 11:41:42,1,315,1425.3230555555556,0.22100252905627826,9839.80864517979,0.010162799258193586,0.014700203401014373,0.691337322413669,127877.92818563999,127877.92818563999,0.0,0.0,118,37.46031746031746,94,221,-127
34,3939925275039085824,362808.6209331,2378.8786707,-180.53163177,5354388.828,2024-04-22 16:59:56,2024-06-21 14:15:16,61,5928,1437.2555555555555,4.124527455876555,15251.245277941867,0.006556841633425939,0.014700203401014373,0.446037476799368,130256.80685633999,130256.80685633999,0.0,0.0,2148,36.23481781376518,2722,3206,-484
35,3941019213896463617,865365.33221,4234.08779003,-210.91510442,57.046,2024-04-22 17:48:10,2024-06-21 08:52:20,2,112,1431.0694444444443,0.07826314818948533,20438.058328589086,0.0048928326943914425,0.014700203401014373,0.33284115606548803,134490.89464637,134490.89464637,0.0,0.0,55,49.107142857142854,67,45,22
36,3942630767220672256,1210192.6112446,6611.89848042,-568.49996591,108624271.19,2024-04-23 09:12:32,2024-06-21 16:11:57,33,4969,1422.9902777777777,3.491942339732547,18303.25457700806,0.005463509212488181,0.014700203401014373,0.37166215075032066,141102.79312679,141102.79312679,0.0,0.0,1903,38.29744415375327,2637,2332,305
